Time Dipole
0.10974 0.00063588
1.6425 0.00083297
3.3379 0.00076979
4.9909 0.00078408
6.6647 0.00074127
8.3315 0.0006431
9.9969 0.0002032
11.663 -0.0020314
13.336 -0.0033513
14.997 -0.0035809
16.665 -0.0037816
18.337 -0.0029259
19.997 -0.0023182
21.666 -0.0022586
23.337 -0.0010981
24.997 0.00029545
26.666 0.0014031
28.338 0.0025039
29.996 0.0031794
31.666 0.00334
33.338 0.0029799
34.995 0.0025351
36.667 0.0018696
38.338 0.0010503
39.995 0.00011745
41.667 -0.00082476
43.339 -0.0015753
44.994 -0.0020242
46.667 -0.0022104
48.339 -0.0021689
49.993 -0.0019447
51.668 -0.001591
53.339 -0.0011576
54.993 -0.00070551
56.668 -0.00041696
58.34 -0.00051137
59.992 -0.00093222
61.668 -0.0014744
63.34 -0.0020962
64.991 -0.0027864
66.669 -0.0034172
68.34 -0.0038891
69.991 -0.0041977
71.669 -0.0043666
73.341 -0.0044426
74.99 -0.0045661
76.67 -0.004866
78.341 -0.0052932
79.989 -0.0057039
81.67 -0.0060189
83.341 -0.0061182
84.989 -0.0059719
86.67 -0.0057248
88.342 -0.0054689
89.988 -0.0052996
91.671 -0.0053324
93.342 -0.0054969
94.987 -0.0055685
96.671 -0.0054733
98.342 -0.0052966
99.987 -0.0051255
101.67 -0.0049609
103.34 -0.004652
104.99 -0.0041525
106.67 -0.003653
108.34 -0.0033224
109.99 -0.0031497
111.67 -0.0030606
113.34 -0.003003
114.98 -0.0029457
116.67 -0.0027896
118.34 -0.0024086
119.98 -0.0018439
121.67 -0.0013241
123.34 -0.00097637
124.98 -0.00069939
126.67 -0.00044083
128.34 -0.00025827
129.98 -0.00015375
131.67 -3.4673e-05
133.34 0.00017703
134.98 0.00052315
136.67 0.0010567
138.34 0.0016879
139.98 0.0021531
141.67 0.0023686
143.35 0.0025122
144.98 0.0027541
146.67 0.003095
148.35 0.0033657
149.98 0.0034328
151.67 0.0033487
153.35 0.0032274
154.98 0.0031273
156.67 0.0030796
158.35 0.0030936
159.98 0.003133
161.68 0.0031533
163.35 0.0031274
164.98 0.003056
166.68 0.0029134
168.35 0.0027353
169.98 0.0026074
171.68 0.0024649
173.35 0.0022308
174.98 0.0019424
176.68 0.0015954
178.35 0.0011884
179.98 0.00080263
181.68 0.00053841
183.35 0.00044627
184.98 0.00050244
186.68 0.00059776
188.35 0.00060602
189.97 0.00051186
191.68 0.00040815
193.35 0.00039463
194.97 0.00050086
196.68 0.00065966
198.35 0.0007776
199.97 0.00091291
201.68 0.0011101
203.35 0.0012906
